Voltage Step, Measured VGS,id,sqrt(Id)
0.5,0.49944026,5.60E-06,0.002365882
0.55,0.501911181,0.000480888,0.021929163
0.6,0.491401459,0.001085985,0.032954293
0.65,0.540933076,0.001090669,0.033025282
0.7,0.621809068,0.000781909,0.027962642
0.75,0.673488799,0.000765112,0.027660658
0.8,0.706189781,0.000938102,0.030628454
0.85,0.740402318,0.001095977,0.033105541
0.9,0.802835657,0.000971643,0.031171196
0.95,0.873435921,0.000765641,0.027670215
1,0.919006017,0.00080994,0.028459442
1.05,0.94423137,0.001057686,0.032522089
1.1,0.991541065,0.001084589,0.032933104
1.15,1.068615305,0.000813847,0.028528003
1.2,1.123358214,0.000766418,0.027684253
1.25,1.150575601,0.000994244,0.031531635
1.3,1.201392658,0.000986073,0.031401806
1.35,1.270715194,0.000792848,0.028157558
1.4,1.323331741,0.000766683,0.027689034
1.45,1.351567421,0.000984326,0.031373967
1.5,1.391419802,0.001085802,0.03295151
1.55,1.449134732,0.001008653,0.031759293
1.6,1.520616531,0.000793835,0.028175072
1.65,1.549541118,0.001004589,0.031695249
1.7,1.579330936,0.001206691,0.034737453
1.75,1.652964496,0.000970355,0.031150522
1.8,1.690310415,0.001096896,0.033119418
1.85,1.698539454,0.001514605,0.038917932
1.9,1.719502275,0.001804977,0.042485024
1.95,1.770769592,0.001792304,0.042335612
2,1.802511963,0.00197488,0.044439626
2.05,1.819100221,0.002308998,0.048052032
2.1,1.811940062,0.002880599,0.053671216
2.15,1.84455349,0.003054465,0.055267215
2.2,1.878118236,0.003218818,0.056734625
2.25,1.878072552,0.003719274,0.060985855
2.3,1.885684186,0.004143158,0.064367369
2.35,1.921745629,0.004282544,0.065441147
2.4,1.905251002,0.00494749,0.070338396
2.45,1.911372959,0.00538627,0.073391215
2.5,1.945457036,0.00554543,0.074467642
2.55,1.968996814,0.005810032,0.076223565
2.6,1.944543439,0.006554566,0.080960272
2.65,1.961001644,0.006889984,0.083005925
2.7,1.998597609,0.007014024,0.08374977
2.75,1.99137517,0.007586248,0.087099072
2.8,1.984939502,0.008150605,0.090280701
2.85,2.017554606,0.008324454,0.091238446
2.9,2.038075171,0.008619248,0.092839907
2.95,2.012250939,0.009377491,0.096837444
3,2.028979224,0.009710208,0.098540386
3.05,2.060232441,0.009897676,0.099487062
3.1,2.052373526,0.010476265,0.102353626
3.15,2.043135539,0.011068645,0.105207626
3.2,2.082687495,0.011173125,0.105703004
3.25,2.072595678,0.011774043,0.108508263
3.3,2.066046135,0.012339539,0.111083476
3.35,2.098482233,0.012515178,0.111871255
3.4,2.112410128,0.012875899,0.113472017
3.45,2.100811449,0.013491886,0.116154576
3.5,2.093436157,0.014065638,0.118598644
3.55,2.123809767,0.014261902,0.119423207
3.6,2.139728564,0.014602714,0.120841691
3.65,2.138438137,0.015115619,0.122945592
3.7,2.119790408,0.015802096,0.125706388
3.75,2.136980312,0.016130197,0.127004712
3.8,2.164909448,0.016350906,0.127870659
3.85,2.159725565,0.016902744,0.130010555
3.9,2.145067438,0.017549326,0.132473868
3.95,2.175808658,0.017741913,0.133198774
